mean anscombe freeman square_root
0 0 0 0
0.05 0.060848259498 0.0958690484986 0.190286774501
0.1 0.118007608545 0.183903050574 0.362246869077
0.15 0.171704303715 0.264705639048 0.517428702774
0.2 0.222150436634 0.338834585791 0.657254524607
0.25 0.269544844772 0.406805316257 0.783030672002
0.3 0.31407396183 0.469094149169 0.89595698487
0.35 0.355912611872 0.526141283386 0.997135446012
0.4 0.395224751046 0.578353552188 1.08757811261
0.45 0.432164160467 0.626106963558 1.16821439797
0.5 0.466875093582 0.669749043488 1.23989775766
0.55 0.499492881118 0.709600997979 1.30341182967
0.6 0.530144496468 0.745959708105 1.35947607386
0.65 0.558949084198 0.779099571349 1.40875095228
0.7 0.586018454162 0.809274201342 1.45184268834
0.75 0.61145754352 0.836717997156 1.48930763963
0.8 0.63536484883 0.861647592406 1.52165631628
0.85 0.657832830204 0.884263193569 1.54935707402
0.9 0.678948289392 0.904749816197 1.57283950872
0.95 0.698792723532 0.923278426992 1.59249757687
1 0.717442656184 0.940006999053 1.60869246448
1.05 0.734969947148 0.955081487071 1.62175522495
1.1 0.751442082461 0.968636728643 1.63198920476
1.15 0.766922445902 0.980797277448 1.63967227438
1.2 0.781470573198 0.991678173525 1.64505888006
1.25 0.795142390072 1.00138565549 1.64838193124
1.3 0.807990435204 1.0100178192 1.64985453676
1.35 0.820064069071 1.01766522686 1.64967160224
1.4 0.831409669595 1.02441147053 1.64801129976
1.45 0.842070815466 1.03033369333 1.64503642015
1.5 0.852088457918 1.03550307175 1.6408956174
1.55 0.861501081727 1.03998526182 1.63572455386
1.6 0.870344856113 1.04384081207 1.62964695416
1.65 0.878653776199 1.04712554568 1.62277557519
1.7 0.886459795643 1.0498909142 1.61521309883
1.75 0.893792950999 1.05218432494 1.60705295378
1.8 0.900681478338 1.05404944408 1.59838007181
1.85 0.907151922628 1.0555264772 1.58927158404
1.9 0.913229240332 1.05665242913 1.57979746179
1.95 0.91893689566 1.05746134443 1.57002110642
2 0.924296950861 1.05798453015 1.55999989235
2.05 0.929330150963 1.058250762 1.54978566685
2.1 0.93405600328 1.05828647541 1.53942521005
2.15 0.938492852037 1.05811594233 1.52896065834
2.2 0.942657948411 1.05776143508 1.51842989409
2.25 0.946567516287 1.05724337797 1.50786690428
2.3 0.95023681398 1.05658048784 1.49730211051
2.35 0.953680192188 1.05578990414 1.48676267269
2.4 0.956911148419 1.05488730942 1.47627276846
2.45 0.959942378088 1.05388704095 1.46585385023
2.5 0.962785822518 1.05280219404 1.45552488165
2.55 0.965452714013 1.05164471776 1.44530255506
2.6 0.967953618212 1.05042550356 1.4352014915
2.65 0.970298473862 1.04915446736 1.42523442457
2.7 0.972496630196 1.04784062553 1.41541236945
2.75 0.974556882046 1.04649216523 1.40574477828
2.8 0.976487502841 1.04511650961 1.39623968286
2.85 0.978296275616 1.04372037807 1.38690382581
2.9 0.979990522152 1.04230984209 1.37774278099
2.95 0.981577130367 1.0408903769 1.36876106406
3 0.98306258006 1.03946690933 1.35996223394
3.05 0.984452967115 1.03804386197 1.35134898594
3.1 0.98575402625 1.03662519422 1.34292323714
3.15 0.986971152408 1.03521444003 1.33468620467
3.2 0.988109420866 1.03381474304 1.32663847745
3.25 0.989173606149 1.03242888888 1.3187800819
3.3 0.990168199807 1.03105933515 1.31111054211
3.35 0.991097427142 1.02970823909 1.30362893484
3.4 0.991965262935 1.02837748317 1.29633393989
3.45 0.992775446231 1.02706869868 1.28922388608
3.5 0.99353149426 1.02578328758 1.28229679324
3.55 0.994236715515 1.02452244266 1.27555041054
3.6 0.994894222069 1.02328716612 1.26898225146
3.65 0.995506941151 1.02207828676 1.26258962558
3.7 0.99607762604 1.02089647578 1.25636966761
3.75 0.99660886632 1.01974226142 1.25031936369
3.8 0.997103097516 1.01861604237 1.24443557531
3.85 0.997562610174 1.01751810022 1.23871506105
3.9 0.997989558397 1.01644861084 1.23315449619
3.95 0.998385967876 1.01540765492 1.22775049052
4 0.998753743456 1.0143952276 1.2224996044
4.05 0.999094676248 1.01341124739 1.21739836318
4.1 0.999410450321 1.01245556434 1.21244327031
4.15 0.999702649011 1.01152796752 1.20763081896
4.2 0.999972760847 1.01062819192 1.20295750252
4.25 1.00022218513 1.00975592477 1.19841982396
4.3 1.0004522372 1.00891081129 1.19401430417
4.35 1.00066415337 1.00809246002 1.18973748932
4.4 1.00085909557 1.00730044766 1.18558595745
4.45 1.00103815576 1.00653432348 1.18155632419
4.5 1.00120236003 1.00579361335 1.17764524781
4.55 1.00135267248 1.00507782346 1.17384943365
4.6 1.00148999891 1.00438644365 1.17016563786
4.65 1.00161519019 1.00371895046 1.1665906707
4.7 1.0017290456 1.00307480991 1.16312139929
4.75 1.00183231578 1.00245348 1.15975474993
4.8 1.00192570566 1.00185441299 1.15648771003
4.85 1.00200987714 1.00127705744 1.15331732962
4.9 1.00208545166 1.0007208601 1.15024072259
4.95 1.00215301256 1.00018526752 1.14725506761
5 1.00221310735 0.999669727572 1.14435760874
5.05 1.00226624983 0.999173690792 1.14154565585
5.1 1.00231292212 0.998696611557 1.13881658478
5.15 1.00235357649 0.998237949142 1.13616783736
5.2 1.00238863715 0.997797168666 1.13359692117
5.25 1.00241850196 0.997373741903 1.13110140922
5.3 1.00244354392 0.996967148014 1.12867893943
5.35 1.00246411274 0.996576874166 1.12632721405
5.4 1.00248053614 0.996202416078 1.12404399895
5.45 1.00249312123 0.995843278483 1.12182712275
5.5 1.00250215572 0.995498975518 1.11967447598
5.55 1.00250790907 0.99516903105 1.11758401006
5.6 1.00251063359 0.994852978946 1.11555373634
5.65 1.00251056549 0.994550363282 1.11358172494
5.7 1.0025079258 0.994260738511 1.11166610367
5.75 1.00250292135 0.993983669579 1.10980505688
5.8 1.00249574555 0.993718732006 1.10799682423
5.85 1.00248657926 0.993465511931 1.10623969951
5.9 1.00247559153 0.99322360612 1.10453202939
5.95 1.00246294031 0.992992621953 1.10287221219
6 1.00244877313 0.99277217737 1.10125869663
6.05 1.00243322771 0.992561900815 1.09968998058
6.1 1.00241643262 0.992361431136 1.0981646098
6.15 1.00239850775 0.992170417486 1.0966811767
6.2 1.00237956493 0.991988519197 1.09523831909
6.25 1.00235970836 0.991815405641 1.09383471897
6.3 1.00233903511 0.991650756081 1.09246910129
6.35 1.00231763554 0.991494259512 1.09114023275
6.4 1.00229559375 0.991345614488 1.0898469206
6.45 1.00227298792 0.991204528946 1.08858801149
6.5 1.00224989072 0.99107072002 1.0873623903
6.55 1.00222636963 0.990943913853 1.08616897902
6.6 1.00220248727 0.990823845403 1.08500673559
6.65 1.0021783017 0.990710258243 1.08387465288
6.7 1.00215386673 0.990602904362 1.08277175755
6.75 1.00212923214 0.990501543966 1.08169710907
6.8 1.00210444399 0.99040594527 1.08064979861
6.85 1.00207954484 0.990315884299 1.07962894814
6.9 1.00205457394 0.990231144682 1.07863370935
6.95 1.00202956748 0.990151517451 1.07766326278
7 1.00200455878 0.990076800842 1.07671681684
7.05 1.00197957847 0.99000680009 1.07579360693
7.1 1.00195465466 0.989941327236 1.07489289455
7.15 1.00192981311 0.989880200929 1.07401396641
7.2 1.0019050774 0.989823246234 1.07315613366
7.25 1.00188046904 0.989770294444 1.07231873103
7.3 1.00185600763 0.989721182888 1.07150111605
7.35 1.00183171099 0.989675754751 1.07070266829
7.4 1.00180759527 0.989633858891 1.0699227886
7.45 1.00178367506 0.989595349665 1.06916089843
7.5 1.00175996351 0.989560086753 1.06841643907
7.55 1.00173647242 0.989527934989 1.06768887103
7.6 1.00171321233 0.989498764192 1.06697767333
7.65 1.00169019261 0.989472449011 1.0662823429
7.7 1.00166742155 0.989448868759 1.06560239395
7.75 1.00164490642 0.989427907262 1.06493735735
7.8 1.00162265355 0.989409452707 1.06428678011
7.85 1.00160066842 0.989393397498 1.06365022474
7.9 1.00157895569 0.98937963811 1.06302726876
7.95 1.00155751926 0.98936807495 1.06241750418
8 1.00153636235 0.989358612224 1.06182053696
8.05 1.00151548755 0.989351157804 1.06123598653
8.1 1.00149489684 0.989345623099 1.06066348533
8.15 1.00147459166 0.989341922935 1.06010267834
8.2 1.00145457295 0.98933997543 1.05955322265
8.25 1.00143484118 0.98933970188 1.05901478699
8.3 1.0014153964 0.989341026645 1.05848705138
8.35 1.00139623827 0.989343877039 1.05796970669
8.4 1.00137736608 0.989348183225 1.05746245425
8.45 1.00135877881 0.98935387811 1.0569650055
8.5 1.00134047512 0.989360897245 1.05647708162
8.55 1.00132245341 0.989369178731 1.05599841319
8.6 1.00130471183 0.989378663124 1.05552873985
8.65 1.0012872483 0.989389293344 1.05506780995
8.7 1.00127006054 0.989401014588 1.05461538031
8.75 1.00125314609 0.989413774248 1.05417121583
8.8 1.00123650232 0.989427521824 1.05373508928
8.85 1.00122012645 0.989442208849 1.05330678097
8.9 1.00120401557 0.989457788814 1.0528860785
8.95 1.00118816666 0.989474217089 1.05247277648
9 1.00117257659 0.989491450857 1.05206667632
9.05 1.00115724215 0.989509449045 1.05166758594
9.1 1.00114216003 0.989528172252 1.05127531957
9.15 1.00112732688 0.989547582694 1.05088969752
9.2 1.00111273929 0.989567644135 1.05051054595
9.25 1.00109839379 0.989588321831 1.05013769667
9.3 1.00108428689 0.989609582471 1.04977098695
9.35 1.00107041504 0.989631394126 1.04941025929
9.4 1.00105677471 0.989653726187 1.0490553613
9.45 1.00104336233 0.989676549324 1.04870614543
9.5 1.00103017432 0.989699835428 1.04836246888
9.55 1.00101720711 0.98972355757 1.04802419338
9.6 1.00100445713 0.989747689947 1.04769118505
9.65 1.0009919208 0.989772207848 1.04736331424
9.7 1.00097959458 0.989797087602 1.0470404554
9.75 1.00096747493 0.989822306544 1.04672248688
9.8 1.00095555833 0.989847842969 1.04640929087
9.85 1.00094384129 0.9898736761 1.0461007532
9.9 1.00093232034 0.989899786048 1.04579676323
9.95 1.00092099204 0.989926153777 1.04549721377
10 1.000909853 0.989952761072 1.04520200087
10.05 1.00089889984 0.989979590503 1.04491102381
10.1 1.00088812923 0.990006625397 1.04462418491
10.15 1.00087753786 0.990033849806 1.04434138945
10.2 1.00086712249 0.990061248478 1.04406254556
10.25 1.00085687989 0.99008880683 1.04378756416
10.3 1.0008468069 0.990116510921 1.0435163588
10.35 1.00083690039 0.990144347425 1.04324884563
10.4 1.00082715726 0.990172303606 1.04298494324
10.45 1.00081757448 0.990200367298 1.04272457267
10.5 1.00080814906 0.990228526875 1.04246765723
10.55 1.00079887803 0.990256771237 1.04221412249
10.6 1.00078975851 0.990285089783 1.04196389617
10.65 1.00078078764 0.990313472391 1.04171690809
10.7 1.00077196259 0.990341909403 1.04147309007
10.75 1.00076328063 0.9903703916 1.04123237587
10.8 1.00075473902 0.99039891019 1.04099470115
10.85 1.0007463351 0.990427456785 1.04076000339
10.9 1.00073806626 0.990456023388 1.0405282218
10.95 1.00072992991 0.990484602377 1.04029929732
11 1.00072192352 0.990513186486 1.0400731725
11.05 1.00071404463 0.990541768795 1.03984979151
11.1 1.00070629079 0.990570342713 1.03962910002
11.15 1.0006986596 0.990598901965 1.03941104522
11.2 1.00069114873 0.990627440577 1.0391955757
11.25 1.00068375588 0.990655952868 1.03898264147
